seed,noV,rhsMin,rhsMax,cMin,cMax,fMin,fMax,supplyNodes,demandNodes, totSupply, avgFC
63,122,446,892,0,20,5881,17643,3,4,2133.0,1140.84074946
64,66,477,954,0,20,12601,37803,5,2,1219.0,2893.58515274
65,116,415,830,0,20,5751,17253,4,2,1421.0,1158.56289783
66,48,71,142,0,20,8691,26073,6,2,195.0,2076.92047864
67,130,75,150,0,20,15321,45963,2,1,115.0,2968.11838022
68,104,742,1484,0,20,18816,56448,4,1,910.0,4255.52140702
69,40,685,1370,0,20,1916,5748,4,3,3631.0,397.721976206
70,72,910,1820,0,20,5881,17643,3,3,3692.0,1103.0443902
71,22,324,648,0,20,12401,37203,5,4,2152.0,2954.40135229
72,132,74,148,0,20,11886,35658,5,2,185.0,2462.16735759
73,84,280,560,0,20,10041,30123,7,2,783.0,2131.36378896
74,34,860,1720,0,20,10306,30918,2,3,3159.0,2511.23942982
75,26,451,902,0,20,8731,26193,3,3,1983.0,1682.58598073
76,44,371,742,0,20,19001,57003,2,3,1304.0,3779.92629757
77,48,800,1600,0,20,6516,19548,3,3,4179.0,1244.66080729
78,124,815,1630,0,20,1921,5763,4,2,4659.0,399.271103749
79,40,146,292,0,20,6991,20973,6,2,1191.0,1332.50854427
80,100,272,544,0,20,10836,32508,3,2,1309.0,2226.87485802
81,84,506,1012,0,20,9066,27198,7,1,5306.0,1922.24081874
82,78,145,290,0,20,9796,29388,2,2,482.0,1987.55115148
83,30,497,994,0,20,17136,51408,5,1,721.0,3970.26413761
84,26,732,1464,0,20,18281,54843,4,3,2797.0,4224.02452496
85,32,200,400,0,20,12301,36903,3,2,894.0,2469.30694053
86,114,792,1584,0,20,621,1863,2,2,1712.0,127.350473406
87,114,146,292,0,20,3781,11343,7,3,498.0,716.596958926
88,122,398,796,0,20,3791,11373,3,2,1002.0,779.977706041
89,132,82,164,0,20,12136,36408,5,3,324.0,2399.86951074
90,94,204,408,0,20,1851,5553,3,2,896.0,347.310697008
91,98,84,168,0,20,3446,10338,2,1,306.0,676.361343502
92,84,422,844,0,20,11296,33888,5,2,1049.0,2307.67240457
93,84,913,1826,0,20,9886,29658,3,1,4300.0,1917.53493273
94,52,547,1094,0,20,2481,7443,4,3,2163.0,446.391514227
95,132,761,1522,0,20,10276,30828,2,1,1289.0,2100.52527812
96,66,371,742,0,20,18151,54453,2,2,676.0,3434.80512911
97,62,195,390,0,20,16121,48363,4,4,1143.0,3242.02238372
98,60,357,714,0,20,16621,49863,3,3,1486.0,3858.33734764
99,42,404,808,0,20,4001,12003,4,2,1127.0,849.284635536
100,108,146,292,0,20,9096,27288,2,2,398.0,1788.96717379
101,130,582,1164,0,20,3896,11688,3,3,2087.0,778.042216182
102,40,149,298,0,20,12316,36948,2,2,379.0,2375.01691376
103,102,980,1960,0,20,9126,27378,2,2,3030.0,1686.01456363
104,102,960,1920,0,20,17436,52308,3,2,2059.0,3445.20526411
105,110,879,1758,0,20,6981,20943,7,1,1538.0,1365.0271216
106,22,711,1422,0,20,18021,54063,6,3,3113.0,4275.4053989
107,130,247,494,0,20,11626,34878,2,2,510.0,2359.64722334
108,120,131,262,0,20,16311,48933,4,3,774.0,3312.96673605
109,82,280,560,0,20,9186,27558,3,1,352.0,1706.43138176
110,114,935,1870,0,20,7761,23283,7,2,8930.0,1499.10690867
111,126,828,1656,0,20,4256,12768,3,4,3476.0,827.270802989
112,90,482,964,0,20,13321,39963,4,4,2403.0,2637.12801401
113,102,31,62,0,20,17351,52053,3,2,74.0,3545.78078645
114,96,241,482,0,20,1956,5868,7,1,411.0,406.527047473
115,34,896,1792,0,20,3936,11808,1,1,1571.0,624.457920941
116,102,822,1644,0,20,11996,35988,2,2,3175.0,2587.13162471
117,66,241,482,0,20,3286,9858,2,2,399.0,671.681318356
118,32,711,1422,0,20,3651,10953,5,1,5431.0,657.738077928
119,108,927,1854,0,20,3596,10788,5,2,2770.0,702.504385008
120,128,515,1030,0,20,3771,11313,3,2,2545.0,751.529004835
121,66,88,176,0,20,11676,35028,3,3,379.0,2836.48476078
122,54,511,1022,0,20,11936,35808,3,1,893.0,2480.4501556
123,66,53,106,0,20,1741,5223,5,2,105.0,337.859689225
124,40,961,1922,0,20,10966,32898,2,1,2980.0,2268.7973493
125,112,901,1802,0,20,4451,13353,4,1,1651.0,912.530918883
126,72,573,1146,0,20,11561,34683,3,2,2079.0,2163.08546152
127,84,45,90,0,20,12476,37428,3,3,193.0,2582.98358369
128,78,941,1882,0,20,4731,14193,3,1,4095.0,869.556412667
129,52,587,1174,0,20,15641,46923,4,3,3723.0,3286.22901746
130,104,520,1040,0,20,5466,16398,4,4,2474.0,1144.42677145
131,30,316,632,0,20,15396,46188,4,3,1927.0,2587.12837527
132,122,413,826,0,20,8151,24453,3,1,2115.0,1494.12408474
133,108,494,988,0,20,9646,28938,3,2,1164.0,2299.92407306
134,132,485,970,0,20,3976,11928,3,2,1163.0,767.188834327
135,86,670,1340,0,20,12506,37518,5,3,2859.0,2519.34723567
136,70,576,1152,0,20,10561,31683,4,4,3649.0,2560.81772273
137,132,73,146,0,20,8201,24603,4,2,187.0,1497.91869688
138,100,194,388,0,20,9001,27003,3,3,696.0,1824.15956449
139,82,2,4,0,20,13896,41688,3,2,5.0,2705.95270068
140,50,772,1544,0,20,1901,5703,5,1,1453.0,330.183382912
141,108,518,1036,0,20,601,1803,2,3,1685.0,109.217303763
142,76,583,1166,0,20,13601,40803,5,4,3480.0,2604.54636398
143,26,907,1814,0,20,17026,51078,3,3,2938.0,3083.96785263
144,126,449,898,0,20,9086,27258,5,4,1991.0,1947.04715504
145,124,871,1742,0,20,16121,48363,3,2,2553.0,3021.77861195
146,108,134,268,0,20,12466,37398,2,3,412.0,2561.750293
147,126,606,1212,0,20,2976,8928,5,5,4130.0,594.076707776
148,130,404,808,0,20,12721,38163,2,1,588.0,2765.32359709
149,36,72,144,0,20,5031,15093,4,4,428.0,1043.63659081
150,42,824,1648,0,20,17901,53703,3,4,3435.0,3408.03093752
151,128,707,1414,0,20,16916,50748,3,2,3516.0,3537.4974344
152,38,978,1956,0,20,7826,23478,4,3,5782.0,1773.69398299
153,50,994,1988,0,20,1511,4533,3,2,4978.0,267.627060518
154,64,204,408,0,20,18441,55323,2,1,319.0,3527.6980198
155,122,581,1162,0,20,10786,32358,4,3,2156.0,2081.68560511
156,48,488,976,0,20,17776,53328,5,4,3232.0,3214.67506638
157,22,612,1224,0,20,4496,13488,3,2,2738.0,788.733038528
158,126,685,1370,0,20,19906,59718,4,2,3846.0,3956.47748971
159,48,395,790,0,20,13451,40353,8,1,629.0,2374.82496857
160,40,123,246,0,20,6861,20583,4,2,772.0,1354.15974029
161,46,519,1038,0,20,11006,33018,2,1,1374.0,2089.98147022
162,44,54,108,0,20,18056,54168,2,2,129.0,2827.93951834
163,86,542,1084,0,20,9141,27423,5,2,1277.0,1839.66277184
164,126,96,192,0,20,6021,18063,4,2,596.0,1278.48878217
165,120,17,34,0,20,19236,57708,5,3,69.0,3947.91268154
166,68,179,358,0,20,12061,36183,2,2,607.0,2618.21038734
167,68,229,458,0,20,1756,5268,3,3,886.0,347.024425217
168,64,746,1492,0,20,10341,31023,4,3,2450.0,2250.92685248
169,84,256,512,0,20,12491,37473,3,2,459.0,2565.27795827
170,86,788,1576,0,20,18196,54588,5,2,6364.0,3283.74907131
171,132,782,1564,0,20,11236,33708,4,2,4920.0,2115.35501767
172,116,353,706,0,20,4276,12828,2,2,766.0,951.653815205
173,108,325,650,0,20,13371,40113,5,1,417.0,2820.70649147
174,24,805,1610,0,20,8841,26523,7,3,8749.0,1559.05281562
175,86,444,888,0,20,1036,3108,5,2,1355.0,179.5985461
176,46,30,60,0,20,15346,46038,4,3,120.0,3093.12928471
177,86,968,1936,0,20,9971,29913,2,2,2392.0,2109.03579425
178,120,949,1898,0,20,19126,57378,3,3,3616.0,3579.48000806
179,114,902,1804,0,20,3961,11883,4,5,5461.0,807.835722364
180,90,145,290,0,20,13486,40458,4,3,566.0,2464.70707701
181,58,581,1162,0,20,2106,6318,4,3,2473.0,409.500348634
182,124,453,906,0,20,4666,13998,3,2,1104.0,983.214037457
183,22,108,216,0,20,14946,44838,2,1,125.0,3240.23497413
184,126,276,552,0,20,4806,14418,3,2,1189.0,1011.43311068
185,38,901,1802,0,20,16096,48288,5,2,2909.0,3527.19300366
186,82,343,686,0,20,8291,24873,3,3,1303.0,1681.08509518
187,88,352,704,0,20,9506,28518,4,3,2161.0,1842.98581005
188,46,790,1580,0,20,16846,50538,2,2,1981.0,3456.7544591
189,38,484,968,0,20,14881,44643,4,4,2462.0,2502.92920951
190,122,75,150,0,20,15036,45108,4,2,218.0,2891.44075447
191,118,760,1520,0,20,15741,47223,4,1,1442.0,3251.17365541
192,74,374,748,0,20,5986,17958,3,2,1822.0,1058.55044817
193,106,562,1124,0,20,17721,53163,4,1,865.0,3340.48438097
194,38,815,1630,0,20,1341,4023,2,3,2561.0,293.249485674
195,44,596,1192,0,20,841,2523,2,2,1299.0,147.869523006
196,100,650,1300,0,20,14221,42663,2,2,1823.0,2779.63511792
197,24,540,1080,0,20,2651,7953,2,2,1217.0,414.219300903
198,32,53,106,0,20,14226,42678,4,2,98.0,2821.03995292
199,52,345,690,0,20,7861,23583,2,3,1206.0,1713.62884495
200,100,46,92,0,20,4066,12198,6,2,121.0,820.599548392
201,22,68,136,0,20,6511,19533,4,4,346.0,1242.43773853
202,66,764,1528,0,20,12896,38688,6,3,2842.0,2313.84436138
203,88,91,182,0,20,16841,50523,2,1,130.0,3235.22307349
204,86,397,794,0,20,1706,5118,1,2,772.0,359.848360701
205,82,435,870,0,20,14491,43473,5,2,1156.0,2870.90039316
206,104,9,18,0,20,6101,18303,4,3,53.0,1283.47016704
207,116,506,1012,0,20,13381,40143,5,3,2163.0,2813.71131731
208,28,280,560,0,20,15611,46833,3,1,487.0,3680.93755905
209,130,558,1116,0,20,466,1398,4,3,2057.0,105.537292523
210,102,385,770,0,20,13611,40833,3,4,1870.0,2695.42136302
211,24,565,1130,0,20,14816,44448,3,3,2142.0,2866.25171489
212,100,397,794,0,20,19646,58938,6,2,907.0,4364.1929029
213,24,153,306,0,20,4406,13218,6,3,713.0,902.763556619
214,54,518,1036,0,20,7106,21318,3,2,2505.0,1386.60290838
215,32,45,90,0,20,18381,55143,3,2,148.0,3275.10669828
216,100,859,1718,0,20,12836,38508,3,2,2136.0,2327.53183286
217,50,961,1922,0,20,4711,14133,3,1,1522.0,904.940287739
218,128,301,602,0,20,2176,6528,4,3,874.0,430.577873119
219,26,699,1398,0,20,6801,20403,4,3,3030.0,1167.42097203
220,48,748,1496,0,20,4661,13983,4,1,1275.0,1121.75433758
221,52,246,492,0,20,1871,5613,5,3,990.0,391.176659606
222,56,779,1558,0,20,4701,14103,2,2,2249.0,924.046561493
223,64,333,666,0,20,8796,26388,4,2,810.0,1969.17666845
224,30,64,128,0,20,3801,11403,2,2,213.0,803.382968563
225,102,701,1402,0,20,4786,14358,5,4,3907.0,1036.25659252
226,82,485,970,0,20,17131,51393,4,3,3084.0,3849.67328606
227,98,400,800,0,20,16321,48963,4,2,1110.0,3200.06893957
228,46,920,1840,0,20,13906,41718,5,1,1257.0,2550.82168254
229,80,529,1058,0,20,4501,13503,4,2,1870.0,832.54308761
230,126,705,1410,0,20,6036,18108,5,1,1112.0,1261.50502796
231,114,855,1710,0,20,19241,57723,6,2,7084.0,3498.31608308
232,30,282,564,0,20,4661,13983,6,3,1150.0,1120.26446591
233,80,683,1366,0,20,12566,37698,7,2,2226.0,2350.3885645
234,118,342,684,0,20,17311,51933,4,1,2404.0,3791.63076389
235,26,347,694,0,20,10291,30873,3,4,1898.0,1818.9100189
236,104,674,1348,0,20,9906,29718,3,3,3018.0,1967.24103566
237,130,623,1246,0,20,18101,54303,2,2,1747.0,3402.59781692
238,102,796,1592,0,20,1796,5388,4,2,1799.0,298.425102386
239,38,119,238,0,20,16551,49653,2,2,301.0,2832.69868902
240,128,864,1728,0,20,1171,3513,5,1,1462.0,208.644169748
241,60,689,1378,0,20,15061,45183,4,3,3638.0,2944.60694702
242,128,336,672,0,20,9921,29763,5,3,2180.0,2150.18363074
243,68,978,1956,0,20,10511,31533,4,1,1516.0,2250.13308706
244,98,947,1894,0,20,15771,47313,5,2,2816.0,3187.87032866
245,72,126,252,0,20,9416,28248,6,3,522.0,1933.75587674
246,102,928,1856,0,20,10331,30993,3,3,4503.0,1993.64670233
247,118,459,918,0,20,421,1263,5,4,2843.0,91.4723943958
248,110,837,1674,0,20,14481,43443,3,3,3727.0,3225.88190902
249,52,272,544,0,20,17126,51378,7,2,764.0,3325.02674335
250,84,388,776,0,20,18661,55983,3,3,1568.0,3745.42677868
251,86,445,890,0,20,7646,22938,5,2,1217.0,1450.83150924
252,98,777,1554,0,20,321,963,6,3,7038.0,66.7851009823
253,118,539,1078,0,20,7631,22893,4,2,2571.0,1594.95515075
254,96,375,750,0,20,5016,15048,3,3,1211.0,957.290114201
255,110,56,112,0,20,12806,38418,3,4,261.0,2352.98428559
256,64,489,978,0,20,8646,25938,3,3,1670.0,1859.10199049
257,80,318,636,0,20,2031,6093,5,1,554.0,399.956705073
258,126,654,1308,0,20,1456,4368,4,5,4190.0,310.896081191
259,70,40,80,0,20,10986,32958,2,2,100.0,2201.76832325
260,84,211,422,0,20,18761,56283,4,1,327.0,3454.42086191
261,40,434,868,0,20,19921,59763,1,1,709.0,3432.12158616
262,74,314,628,0,20,10686,32058,4,3,1216.0,2064.50764162
263,130,743,1486,0,20,16556,49668,4,2,2041.0,3208.97630895
264,82,622,1244,0,20,13456,40368,3,3,2443.0,2532.44458588
265,56,810,1620,0,20,9561,28683,2,3,2471.0,2005.27321765
266,96,967,1934,0,20,10836,32508,3,2,5239.0,2243.11532852
267,60,198,396,0,20,8896,26688,4,2,433.0,1559.248411
268,56,756,1512,0,20,10686,32058,4,3,2524.0,2410.59037763
269,106,40,80,0,20,17691,53073,3,4,201.0,3468.16860503
270,30,847,1694,0,20,7156,21468,3,3,3698.0,1507.73484801
271,96,484,968,0,20,7111,21333,3,3,2541.0,1618.50954142
272,94,979,1958,0,20,7176,21528,6,2,3308.0,1442.45814557
273,48,193,386,0,20,12666,37998,4,2,496.0,2503.12674737
274,26,145,290,0,20,7386,22158,1,2,209.0,1451.06531516
275,84,760,1520,0,20,16551,49653,4,3,3253.0,3246.82859037
276,106,373,746,0,20,3966,11898,4,3,1749.0,779.360628515
277,46,902,1804,0,20,18381,55143,4,4,4872.0,4139.55303498
278,26,907,1814,0,20,9951,29853,3,1,1365.0,1881.93891293
279,26,411,822,0,20,15746,47238,3,2,1372.0,2635.01465611
280,122,310,620,0,20,13116,39348,4,1,492.0,2750.56003919
281,70,20,40,0,20,5046,15138,3,1,29.0,979.706772852
282,74,672,1344,0,20,18796,56388,2,2,1909.0,3857.98951114
283,80,725,1450,0,20,2731,8193,4,1,1056.0,519.12645984
284,32,33,66,0,20,5581,16743,5,2,88.0,1099.85678878
285,86,581,1162,0,20,7751,23253,4,4,3365.0,1503.49769123
286,28,492,984,0,20,6331,18993,3,2,1304.0,1190.8796366
287,34,556,1112,0,20,6271,18813,2,3,2005.0,1172.32941903
288,76,935,1870,0,20,5626,16878,5,2,3142.0,1101.63609783
289,98,850,1700,0,20,5441,16323,4,2,5322.0,1079.63571891
290,76,543,1086,0,20,6766,20298,5,3,3548.0,1268.35930681
291,130,659,1318,0,20,14676,44028,2,3,2018.0,2693.5452147
292,38,769,1538,0,20,15311,45933,7,2,2536.0,3188.69752324
293,78,478,956,0,20,2281,6843,6,2,1396.0,465.89373327
294,44,177,354,0,20,9686,29058,4,3,713.0,1930.20926571
295,100,863,1726,0,20,5641,16923,2,2,2762.0,1302.31346002
296,62,74,148,0,20,18561,55683,4,2,177.0,4166.00914527
297,132,526,1052,0,20,14961,44883,4,2,1404.0,3140.70360729
298,42,206,412,0,20,12946,38838,3,3,1042.0,2540.0943057
299,22,365,730,0,20,14396,43188,4,3,2440.0,3294.07169157
300,22,598,1196,0,20,6891,20673,2,1,2169.0,1638.12841635
301,76,399,798,0,20,15986,47958,4,3,1308.0,3543.8109168
302,82,966,1932,0,20,10781,32343,3,4,4942.0,2288.45912162
303,42,32,64,0,20,19376,58128,1,1,59.0,3523.0391695
304,116,134,268,0,20,8536,25608,4,4,700.0,1658.13043081
305,92,183,366,0,20,11331,33993,2,1,295.0,2459.3989121
306,42,430,860,0,20,10496,31488,3,3,1452.0,2355.51661169
307,98,638,1276,0,20,6011,18033,4,5,4208.0,1205.17068378
308,60,188,376,0,20,19336,58008,3,3,672.0,3860.58547881
309,44,64,128,0,20,6,18,5,2,454.0,1.21088874281
310,50,552,1104,0,20,3776,11328,3,1,2504.0,857.269504337
311,28,821,1642,0,20,5141,15423,4,2,2332.0,1091.47380195
312,24,651,1302,0,20,13131,39393,5,4,4342.0,2358.40678464
313,68,565,1130,0,20,19386,58158,5,2,1777.0,3669.78838142
314,22,197,394,0,20,2226,6678,3,3,572.0,505.503765999
315,22,410,820,0,20,8276,24828,5,4,2231.0,2046.77194388
316,22,27,54,0,20,18926,56778,3,1,38.0,4008.24061725
317,64,463,926,0,20,14096,42288,4,3,3401.0,3082.70126782
318,66,699,1398,0,20,936,2808,5,4,3577.0,187.640865642
319,110,178,356,0,20,18371,55113,3,3,656.0,3574.9630471
320,70,446,892,0,20,12586,37758,4,1,722.0,2608.71738467
321,84,276,552,0,20,2511,7533,4,2,1654.0,454.963887988
322,68,874,1748,0,20,16276,48828,4,3,4216.0,2933.04616635
323,36,734,1468,0,20,14511,43533,4,4,4415.0,3754.89239333
324,130,591,1182,0,20,14326,42978,3,1,2390.0,2762.36315756
325,34,551,1102,0,20,2511,7533,6,3,1696.0,482.857005794
326,112,105,210,0,20,6176,18528,6,5,1061.0,1143.91533338
327,70,864,1728,0,20,16761,50283,5,1,5754.0,3767.33703071
328,74,643,1286,0,20,15066,45198,6,2,2280.0,3112.37375414
329,58,830,1660,0,20,6176,18528,3,3,3263.0,1496.7074689
330,126,952,1904,0,20,12341,37023,2,3,3445.0,2249.35892541
331,40,836,1672,0,20,6421,19263,3,1,3700.0,1310.40334885
332,86,249,498,0,20,10571,31713,5,4,1278.0,1927.49103508
333,132,555,1110,0,20,7061,21183,3,1,677.0,1410.23840545
334,122,925,1850,0,20,11096,33288,2,2,2503.0,2337.31342041
335,80,145,290,0,20,15426,46278,4,1,276.0,3027.55924523
336,124,7,14,0,20,14996,44988,3,1,26.0,2844.65084379
337,62,202,404,0,20,16781,50343,4,1,1261.0,3923.68114199
338,76,110,220,0,20,5611,16833,4,4,563.0,1136.77613265
339,92,142,284,0,20,19576,58728,6,4,822.0,4083.75031542
340,80,400,800,0,20,1896,5688,3,3,1378.0,366.743677804
341,38,583,1166,0,20,11361,34083,4,1,3992.0,1846.70117736
342,28,121,242,0,20,11671,35013,3,4,600.0,2487.12348149
343,124,188,376,0,20,15206,45618,5,3,607.0,2997.5416905
344,120,377,754,0,20,2046,6138,4,4,1741.0,433.084826711
345,132,771,1542,0,20,116,348,3,2,1793.0,25.0158914436
346,126,561,1122,0,20,12156,36468,2,2,1843.0,2743.48820893
347,120,351,702,0,20,9391,28173,4,3,1093.0,1950.31879107
348,42,873,1746,0,20,15366,46098,3,3,2893.0,2911.09730451
349,104,410,820,0,20,8561,25683,2,2,1228.0,1734.70865858
350,66,890,1780,0,20,16046,48138,3,3,3570.0,2911.76256309
351,58,858,1716,0,20,11511,34533,3,3,3798.0,2341.15317708
352,28,889,1778,0,20,2866,8598,4,1,5580.0,670.152928781
353,102,98,196,0,20,7541,22623,3,2,301.0,1515.82590789
354,32,214,428,0,20,1731,5193,3,3,958.0,367.817357703
355,58,160,320,0,20,12321,36963,6,1,259.0,2203.4380333
356,50,650,1300,0,20,9426,28278,2,2,1273.0,2011.03095222
357,28,185,370,0,20,18716,56148,3,4,730.0,4191.80660633
358,64,765,1530,0,20,4791,14373,5,2,5843.0,985.512377246
359,86,94,188,0,20,10096,30288,4,3,320.0,1849.45751808
360,124,920,1840,0,20,6131,18393,5,1,1069.0,1306.84518607
361,108,913,1826,0,20,2606,7818,6,2,2302.0,478.390313139
362,90,768,1536,0,20,10491,31473,3,4,4140.0,2123.70066138
363,82,781,1562,0,20,16531,49593,4,1,4093.0,3168.14796324
364,124,785,1570,0,20,1836,5508,5,4,4701.0,376.647150046
365,106,677,1354,0,20,18476,55428,3,3,2162.0,3342.23065906
366,34,69,138,0,20,14456,43368,5,2,210.0,2500.39595245
367,122,35,70,0,20,10601,31803,4,4,179.0,2061.38461518
368,26,878,1756,0,20,11636,34908,3,2,2141.0,2037.87970037
369,122,771,1542,0,20,19846,59538,4,3,2470.0,3984.82993907
370,108,125,250,0,20,16606,49818,6,3,909.0,3470.58406213
371,90,311,622,0,20,8286,24858,4,3,1267.0,1519.64648886
372,104,118,236,0,20,19621,58863,3,2,596.0,3933.15651441
373,104,35,70,0,20,17646,52938,4,3,205.0,3424.50491751
374,108,332,664,0,20,14366,43098,4,2,548.0,2951.28898263
375,70,234,468,0,20,4986,14958,3,3,1034.0,1094.06962499
376,74,673,1346,0,20,14401,43203,4,3,2822.0,2970.590358
377,130,241,482,0,20,1886,5658,2,1,300.0,381.658835153
378,100,23,46,0,20,14171,42513,3,3,127.0,2654.99731198
379,108,32,64,0,20,10776,32328,5,4,129.0,1981.77560168
380,84,922,1844,0,20,6596,19788,2,2,1496.0,1277.01887623
381,24,480,960,0,20,19471,58413,3,2,2041.0,4207.44789026
382,46,57,114,0,20,2761,8283,3,2,212.0,563.302638641
383,38,517,1034,0,20,10621,31863,4,5,3366.0,2060.14388148
384,108,645,1290,0,20,7671,23013,3,3,2652.0,1497.64859054
385,66,926,1852,0,20,16561,49683,2,1,2944.0,3386.11197468
386,82,622,1244,0,20,13756,41268,5,1,975.0,3063.69537822
387,110,441,882,0,20,796,2388,4,5,2639.0,160.309428177
388,62,804,1608,0,20,7376,22128,4,3,2601.0,1367.36647335
389,86,669,1338,0,20,12756,38268,4,2,3322.0,2501.35476147
390,78,568,1136,0,20,1771,5313,6,1,787.0,374.176648884
391,92,493,986,0,20,19176,57528,4,4,2927.0,3899.48374689
392,90,616,1232,0,20,9066,27198,4,4,3909.0,1679.74118533
393,22,374,748,0,20,3371,10113,3,2,812.0,693.663543518
394,100,980,1960,0,20,4926,14778,2,2,1758.0,983.099956939
395,36,371,742,0,20,421,1263,3,1,1789.0,79.9801762072
396,84,51,102,0,20,13106,39318,7,3,130.0,2438.47844892
397,108,121,242,0,20,7891,23673,2,1,380.0,1455.25558309
398,88,931,1862,0,20,8556,25668,4,2,6766.0,1796.90517553
399,22,36,72,0,20,14226,42678,5,2,104.0,3125.00379502
400,112,308,616,0,20,5076,15228,5,1,500.0,965.157428336
401,114,498,996,0,20,8551,25653,4,2,3055.0,1525.81297669
402,92,822,1644,0,20,1946,5838,4,2,2715.0,391.225895384
403,108,250,500,0,20,6836,20508,3,2,1002.0,1306.08557518
404,22,88,176,0,20,8116,24348,4,3,358.0,1758.1533431
405,102,44,88,0,20,19346,58038,6,1,63.0,3579.63886981
406,66,422,844,0,20,8336,25008,4,4,2886.0,1766.90299602
407,112,659,1318,0,20,2071,6213,3,2,2515.0,389.867530017
408,126,799,1598,0,20,8806,26418,4,1,4080.0,1779.99381004
409,38,826,1652,0,20,10946,32838,5,1,1564.0,2108.19387547
410,22,148,296,0,20,19121,57363,6,2,490.0,2751.15842984
